INVENTARIO DE ETIQUETAS			

ETIQUETA	NUMERO	% EN APLICACIÓN	% POR FICHERO
FIELDS	131	9,62	165,82
RELATIONFIELDS	108	7,93	136,71
DBORDER	90	6,61	113,92
DBTABLE	78	5,73	98,73
TITLE	78	5,73	98,73
NOTE	73	5,36	92,41
AUTOMENU	56	4,11	70,89
COLSCOLOR	51	3,74	64,56
EXPIRE	51	3,74	64,56
FORMACTION	51	3,74	64,56
SUBTITLE	51	3,74	64,56
DBRANGE	50	3,67	63,29
FORMATTOTALS	50	3,67	63,29
NOEDITFILLED	50	3,67	63,29
THCOLSPAN	48	3,52	60,76
COLSOP	47	3,45	59,49
FORMAT	46	3,38	58,23
PDFCOL	29	2,13	36,71
DBINDEX	27	1,98	34,18
DBGROUPBY	26	1,91	32,91
CHARTCOL	20	1,47	25,32
CHART	17	1,25	21,52
DBLIMIT	15	1,10	18,99
DEBUG	15	1,10	18,99
DBSERIAL	12	0,88	15,19
CHARTGRID	11	0,81	13,92
ADDCODE	9	0,66	11,39
MAXREC	8	0,59	10,13
ADDOPTION	7	0,51	8,86
CC	7	0,51	8,86
TIPFORM	5	0,37	6,33
TOTALSROWS	5	0,37	6,33
DBMEMO	4	0,29	5,06
DBSQL	4	0,29	5,06
FS	3	0,22	3,80
GRID	3	0,22	3,80
JSEND	3	0,22	3,80
NOSORT	3	0,22	3,80
ROWCOLOR	3	0,22	3,80
CURSOR	2	0,15	2,53
DBADDFILTER	2	0,15	2,53
JSCHECK	2	0,15	2,53
SHOWFIELDS	2	0,15	2,53
ALIGN	1	0,07	1,27
DBINI	1	0,07	1,27
DEFAUX	1	0,07	1,27
HELP	1	0,07	1,27
JSINI	1	0,07	1,27
JSSELROW	1	0,07	1,27
ONCHANGE	1	0,07	1,27
PHPEND	1	0,07	1,27
STOP	1	0,07	1,27
