INVENTARIO DE ETIQUETAS			

ETIQUETA	NUMERO	% EN APLICACION	% POR FICHERO
ADDCODE	171	9,98	141,32
TITLE	125	7,29	103,31
DBTABLE	119	6,94	98,35
FIELDS	115	6,71	95,04
DBINDEX	114	6,65	94,21
FS	80	4,67	66,12
DBORDER	70	4,08	57,85
NOTE	69	4,03	57,02
CC	62	3,62	51,24
ONCHANGE	59	3,44	48,76
FIELDSET	57	3,33	47,11
JSEND	50	2,92	41,32
DBSERIAL	44	2,57	36,36
FR	41	2,39	33,88
TAB	41	2,39	33,88
WIDTH	38	2,22	31,4
BUTTON	29	1,69	23,97
SKIPTD	26	1,52	21,49
TIPFORM	25	1,46	20,66
ALIGN	23	1,34	19,01
DBLIMIT	17	0,99	14,05
LOADSEL	17	0,99	14,05
ADDOPTION	16	0,93	13,22
JSHEAD	15	0,88	12,4
PHPINI	14	0,82	11,57
RELATIONFIELDS	14	0,82	11,57
SHOWFIELDS	13	0,76	10,74
FORMAT	11	0,64	9,09
FORMCHECK	11	0,64	9,09
FORMTYPE	11	0,64	9,09
EXPIRE	10	0,58	8,26
DEBUG	8	0,47	6,61
MAXREC	8	0,47	6,61
NOBUTTON	8	0,47	6,61
DEFAUX	7	0,41	5,79
ERRORLABEL	7	0,41	5,79
JSCHECK	7	0,41	5,79
OTHERDF	7	0,41	5,79
SUBLIST	7	0,41	5,79
DBINI	6	0,35	4,96
EDITMIRROR	6	0,35	4,96
JSSELROW	6	0,35	4,96
MSGANSWER	6	0,35	4,96
FORMPOSITION	5	0,29	4,13
STOP	5	0,29	4,13
TIPTH	5	0,29	4,13
DBMEMO	4	0,23	3,31
FILEVAR	4	0,23	3,31
FORMACTION	4	0,23	3,31
H	4	0,23	3,31
MIRROR	4	0,23	3,31
NOEDITFILLED	4	0,23	3,31
POSICION	4	0,23	3,31
UPLOADFILE	4	0,23	3,31
WHERESELECT	4	0,23	3,31
WINCLOSE	4	0,23	3,31
WINTITLE	4	0,23	3,31
DBINSERT	3	0,18	2,48
DBSELREC	3	0,18	2,48
SELINFO	3	0,18	2,48
SUBLISTDF	3	0,18	2,48
THCONTROL	3	0,18	2,48
COLSOP	2	0,12	1,65
DBGROUPBY	2	0,12	1,65
DBSQL	2	0,12	1,65
DCOLUMNAS	2	0,12	1,65
DEFAULTVAL	2	0,12	1,65
FIXZONETITLE	2	0,12	1,65
FORMWIDTHS	2	0,12	1,65
HELP	2	0,12	1,65
NOEDIT	2	0,12	1,65
PDFFORM	2	0,12	1,65
PDFPHP	2	0,12	1,65
PHPFORM	2	0,12	1,65
RADIO	2	0,12	1,65
WINFORM	2	0,12	1,65
WINNEW	2	0,12	1,65
COLSWIDTH	1	0,06	0,83
CSS	1	0,06	0,83
DBADDFILTER	1	0,06	0,83
DBRANGE	1	0,06	0,83
DBREAD	1	0,06	0,83
DELFILTER	1	0,06	0,83
FIXZONE	1	0,06	0,83
FORMATTOTALS	1	0,06	0,83
GRID	1	0,06	0,83
GROUPLABELS	1	0,06	0,83
HTMINI	1	0,06	0,83
JSINI	1	0,06	0,83
NOSELECTROW	1	0,06	0,83
NOSORT	1	0,06	0,83
PDFLABEL	1	0,06	0,83
PDFTH	1	0,06	0,83
PDFVAR	1	0,06	0,83
SERVER	1	0,06	0,83
WINSEL	1	0,06	0,83
Z	1	0,06	0,83
