INVENTARIO DE ETIQUETAS			

ETIQUETA	NUMERO	% EN APLICACION	% POR FICHERO
FIELDS	740	6,71	107,09
TITLE	659	5,98	95,37
DBTABLE	652	5,92	94,36
ADDOPTION	538	4,88	77,86
DBINDEX	434	3,94	62,81
NOTE	397	3,60	57,45
ONCHANGE	354	3,21	51,23
DBORDER	302	2,74	43,70
RELATIONFIELDS	302	2,74	43,70
ADDCODE	284	2,58	41,10
JSEND	282	2,56	40,81
DBLIMIT	266	2,41	38,49
ALIGN	263	2,39	38,06
PDFVAR	245	2,22	35,46
FORMACTION	233	2,11	33,72
AUTOMENU	229	2,08	33,14
WHERESELECT	221	2,01	31,98
DBSQL	212	1,92	30,68
WIDTH	207	1,88	29,96
LOADSEL	186	1,69	26,92
CURSOR	173	1,57	25,04
NOEDITFILLED	164	1,49	23,73
DBSERIAL	163	1,48	23,59
PDFSAVEVAR	154	1,40	22,29
NOSORT	152	1,38	22,00
SHOWFIELDS	152	1,38	22,00
SUBTITLE	142	1,29	20,55
FORMAT	135	1,22	19,54
CC	122	1,11	17,66
PHPINI	116	1,05	16,79
PHPFORM	113	1,03	16,35
DBRANGE	108	0,98	15,63
JSCHECK	108	0,98	15,63
MAXREC	107	0,97	15,48
DBINI	103	0,93	14,91
EXPIRE	100	0,91	14,47
WINTITLE	98	0,89	14,18
SLIDECOL	82	0,74	11,87
BUTTON	81	0,73	11,72
ASSIGN	80	0,73	11,58
WINFORM	77	0,70	11,14
WINLIST	72	0,65	10,42
FORMCHECK	70	0,64	10,13
FS	62	0,56	8,97
JSSELROW	59	0,54	8,54
PDFCOL	55	0,50	7,96
TOTALSROWS	54	0,49	7,81
FC	52	0,47	7,53
JSHEAD	52	0,47	7,53
NOABORT	51	0,46	7,38
TAB	49	0,44	7,09
TIPFORM	49	0,44	7,09
SELINFO	42	0,38	6,08
NOEDIT	39	0,35	5,64
COLSWIDTH	37	0,34	5,35
JSINI	34	0,31	4,92
FOOTTITLE	31	0,28	4,49
FORMWIDTHS	29	0,26	4,20
STATUSINFO	29	0,26	4,20
CHART	26	0,24	3,76
DBMEMO	25	0,23	3,62
PHPEND	25	0,23	3,62
FIXZONETITLE	24	0,22	3,47
NOSELECTROW	22	0,20	3,18
DBADDFILTER	21	0,19	3,04
DBGATEWAY	21	0,19	3,04
WINCLOSE	20	0,18	2,89
DBADDSQL	19	0,17	2,75
NOBUTTON	19	0,17	2,75
MSGSUBMIT	17	0,15	2,46
PDFTH	17	0,15	2,46
COLSOP	16	0,15	2,32
BCP	15	0,14	2,17
ROWCOLOR	15	0,14	2,17
UPLOADFILE	15	0,14	2,17
P	14	0,13	2,03
MSGANSWER	13	0,12	1,88
STOP	12	0,11	1,74
TIPTH	11	0,10	1,59
DBLOG	10	0,09	1,45
FORMPOSITION	10	0,09	1,45
DELFILTER	9	0,08	1,30
MIRROR	9	0,08	1,30
NOTOOLS	9	0,08	1,30
PHPHEAD	9	0,08	1,30
REQFILTER	9	0,08	1,30
DBSELREC	8	0,07	1,16
EDITMIRROR	8	0,07	1,16
HTMHEAD	8	0,07	1,16
EDITLIST	7	0,06	1,01
Z	7	0,06	1,01
DCOLUMNAS	6	0,05	0,87
FIXZONE	6	0,05	0,87
FORUSERS	6	0,05	0,87
FR	6	0,05	0,87
DBINSERT	5	0,05	0,72
EDITDEFAULT	5	0,05	0,72
FIELDSET	5	0,05	0,72
MSGTIME	5	0,05	0,72
PDFWRAP	5	0,05	0,72
THCOLSPAN	5	0,05	0,72
CHR	4	0,04	0,58
DEBUG	4	0,04	0,58
F	4	0,04	0,58
I	4	0,04	0,58
JSONCLICKROW	4	0,04	0,58
WSELECT	4	0,04	0,58
COLSCOLOR	3	0,03	0,43
DBGATEWAYONE	3	0,03	0,43
DBREAD	3	0,03	0,43
FORMATTOTALS	3	0,03	0,43
H	3	0,03	0,43
NOTA	3	0,03	0,43
SUBWIN	3	0,03	0,43
WINNEW	3	0,03	0,43
CLOCK	2	0,02	0,29
CSS	2	0,02	0,29
DELOPTION	2	0,02	0,29
GREENBAR	2	0,02	0,29
PDFCOLSSHADE	2	0,02	0,29
ROWSOP	2	0,02	0,29
SG	2	0,02	0,29
TIPTD	2	0,02	0,29
ALING	1	0,01	0,14
ASIGN	1	0,01	0,14
CLOSED	1	0,01	0,14
COUNT	1	0,01	0,14
DBCHILD	1	0,01	0,14
DBEND	1	0,01	0,14
DBJOINTABLE	1	0,01	0,14
DBPARENT	1	0,01	0,14
DBTABLERELATION	1	0,01	0,14
DEFAULTVAL	1	0,01	0,14
DEFAUX	1	0,01	0,14
DTABLA	1	0,01	0,14
FORMTYPE	1	0,01	0,14
HEAD	1	0,01	0,14
HTMEND	1	0,01	0,14
HTMINI	1	0,01	0,14
LOADINI	1	0,01	0,14
LOCALSELECT	1	0,01	0,14
NOTAS	1	0,01	0,14
PD	1	0,01	0,14
RELACION	1	0,01	0,14
SESSIONVAR	1	0,01	0,14
SKIPTD	1	0,01	0,14
SUBLIST	1	0,01	0,14
SUBLISTDF	1	0,01	0,14
